abstract,acl_url,anthology,anthology_id,arxiv_url,authors,month,title,venue,year
"The MISTY1 algorithm, proposed by Matsui in FSE 1997, is a block cipher with a 64-bit block size and a 128-bit key size. It was recommended by the European NESSIE project and the CRYPTREC project, and became one RFC in 2002 and an ISO standard in 2005, respectively. In this paper, we first investigate the properties of the FL linear function and identify 232 subkey- dependent zero-correlation linear approximations over 5-round MISTY1 with 3 FL layers. Fur- thermore, some observations on the FL, FO and FI functions are founded and based upon those observations, we select 27 subkey-dependent zero-correlation linear approximations and then, pro- pose the zero-correlation linear attacks on 7-round MISTY1 with 4 FL layers. Besides, for the case without FL layers, 27 zero-correlation linear approximations over 5-round MISTY1 are employed to the analysis of 7-round MISTY1. The zero-correlation linear attack on the 7-round with 4 FL layers needs about 2^{119:5} encryptions with 2^{62.9} known plaintexts and 2^61 memory bytes. For the attack on 7-round without FL layers, the data complexity is about 2^{63.9} known plaintexts, the time complexity is about 2^{81} encryptions and the memory requirements are about 2^{93} bytes. Both have lower time complexity than previous attacks.",http://aclweb.org/anthology/D17-1015,D17-1,D17-1015,https://arxiv.org/abs/1410.4312,"('Nikita Kitaev', 'Dan Klein')",9,Where is Misty? Interpreting Spatial Descriptors by Modeling Regions in Space,EMNLP,2017
,http://aclweb.org/anthology/D17-1016,D17-1,D17-1016,,"('Afshin Rahimi', 'Timothy Baldwin', 'Trevor Cohn')",9,"
      Continuous Representation of Location for Geolocation and Lexical
      Dialectology using Mixture Density Networks
    ",EMNLP,2017
"Generating captions for images is a task that has recently received considerable attention. In this work we focus on caption generation for abstract scenes, or object layouts where the only information provided is a set of objects and their locations. We propose OBJ2TEXT, a sequence-to-sequence model that encodes a set of objects and their locations as an input sequence using an LSTM network, and decodes this representation using an LSTM language model. We show that our model, despite encoding object layouts as a sequence, can represent spatial relationships between objects, and generate descriptions that are globally coherent and semantically relevant. We test our approach in a task of object-layout captioning by using only object annotations as inputs. We additionally show that our model, combined with a state-of-the-art object detector, improves an image captioning model from 0.863 to 0.950 (CIDEr score) in the test benchmark of the standard MS-COCO Captioning task.",http://aclweb.org/anthology/D17-1017,D17-1,D17-1017,https://arxiv.org/abs/1707.07102,"('Xuwang Yin', 'Vicente Ordonez')",9,Obj2Text: Generating Visually Descriptive Language from Object Layouts,EMNLP,2017
"Coreference resolution is an intermediate step for text understanding. It is used in tasks and domains for which we do not necessarily have coreference annotated corpora. Therefore, generalization is of special importance for coreference resolution. However, while recent coreference resolvers have notable improvements on the CoNLL dataset, they struggle to generalize properly to new domains or datasets. In this paper, we investigate the role of linguistic features in building more generalizable coreference resolvers. We show that generalization improves only slightly by merely using a set of additional linguistic features. However, employing features and subsets of their values that are informative for coreference resolution, considerably improves generalization. Thanks to better generalization, our system achieves state-of-the-art results in out-of-domain evaluations, e.g., on WikiCoref, our system, which is trained on CoNLL, achieves on-par performance with a system designed for this dataset.",http://aclweb.org/anthology/D17-1018,D17-1,D17-1018,https://arxiv.org/abs/1708.00160,"('Kenton Lee', 'Luheng He', 'Mike Lewis', 'Luke Zettlemoyer')",9,End-to-end Neural Coreference Resolution,EMNLP,2017
"Discourse coherence is strongly associated with text quality, making it important to natural language generation and understanding. Yet existing models of coherence focus on measuring individual aspects of coherence (lexical overlap, rhetorical structure, entity centering) in narrow domains.   In this paper, we describe domain-independent neural models of discourse coherence that are capable of measuring multiple aspects of coherence in existing sentences and can maintain coherence while generating new sentences. We study both discriminative models that learn to distinguish coherent from incoherent discourse, and generative models that produce coherent text, including a novel neural latent-variable Markovian generative model that captures the latent discourse dependencies between sentences in a text.   Our work achieves state-of-the-art performance on multiple coherence evaluations, and marks an initial step in generating coherent texts given discourse contexts.",http://aclweb.org/anthology/D17-1019,D17-1,D17-1019,https://arxiv.org/abs/1606.01545,"('Jiwei Li', 'Dan Jurafsky')",9,Neural Net Models of Open-domain Discourse Coherence,EMNLP,2017
"The increasing amount of online content motivated the development of multi-document summarization methods. In this work, we explore straightforward approaches to extend single-document summarization methods to multi-document summarization. The proposed methods are based on the hierarchical combination of single-document summaries, and achieves state of the art results.",http://aclweb.org/anthology/D17-1020,D17-1,D17-1020,https://arxiv.org/abs/1507.02907,"('Kexiang Wang', 'Tianyu Liu', 'Zhifang Sui', 'Baobao Chang')",9,Affinity-Preserving Random Walk for Multi-Document Summarization,EMNLP,2017
"Resolving abstract anaphora is an important, but difficult task for text understanding. Yet, with recent advances in representation learning this task becomes a more tangible aim. A central property of abstract anaphora is that it establishes a relation between the anaphor embedded in the anaphoric sentence and its (typically non-nominal) antecedent. We propose a mention-ranking model that learns how abstract anaphors relate to their antecedents with an LSTM-Siamese Net. We overcome the lack of training data by generating artificial anaphoric sentence--antecedent pairs. Our model outperforms state-of-the-art results on shell noun resolution. We also report first benchmark results on an abstract anaphora subset of the ARRAU corpus. This corpus presents a greater challenge due to a mixture of nominal and pronominal anaphors and a greater range of confounders. We found model variants that outperform the baselines for nominal anaphors, without training on individual anaphor data, but still lag behind for pronominal anaphors. Our model selects syntactically plausible candidates and -- if disregarding syntax -- discriminates candidates using deeper features.",http://aclweb.org/anthology/D17-1021,D17-1,D17-1021,https://arxiv.org/abs/1706.02256,"('Ana Marasovic', 'Leo Born', 'Juri Opitz', 'Anette Frank')",9,A Mention-Ranking Model for Abstract Anaphora Resolution,EMNLP,2017
"We present a novel neural model HyperVec to learn hierarchical embeddings for hypernymy detection and directionality. While previous embeddings have shown limitations on prototypical hypernyms, HyperVec represents an unsupervised measure where embeddings are learned in a specific order and capture the hypernym$-$hyponym distributional hierarchy. Moreover, our model is able to generalize over unseen hypernymy pairs, when using only small sets of training data, and by mapping to other languages. Results on benchmark datasets show that HyperVec outperforms both state$-$of$-$the$-$art unsupervised measures and embedding models on hypernymy detection and directionality, and on predicting graded lexical entailment.",http://aclweb.org/anthology/D17-1022,D17-1,D17-1022,https://arxiv.org/abs/1707.07273,"('Kim Anh Nguyen', 'Maximilian Köper', 'Sabine Schulte im Walde', 'Ngoc Thang Vu')",9,Hierarchical Embeddings for Hypernymy Detection and Directionality,EMNLP,2017
,http://aclweb.org/anthology/D17-1023,D17-1,D17-1023,,"('Zhe Zhao', 'Tao Liu', 'Shen Li', 'Bofang Li', 'Xiaoyong Du')",9,"
      Ngram2vec: Learning Improved Word Representations from Ngram Co-occurrence
      Statistics
    ",EMNLP,2017
"Distributional models that learn rich semantic word representations are a success story of recent NLP research. However, developing models that learn useful representations of phrases and sentences has proved far harder. We propose using the definitions found in everyday dictionaries as a means of bridging this gap between lexical and phrasal semantics. Neural language embedding models can be effectively trained to map dictionary definitions (phrases) to (lexical) representations of the words defined by those definitions. We present two applications of these architectures: ""reverse dictionaries"" that return the name of a concept given a definition or description and general-knowledge crossword question answerers. On both tasks, neural language embedding models trained on definitions from a handful of freely-available lexical resources perform as well or better than existing commercial systems that rely on significant task-specific engineering. The results highlight the effectiveness of both neural embedding architectures and definition-based training for developing models that understand phrases and sentences.",http://aclweb.org/anthology/D17-1024,D17-1,D17-1024,https://arxiv.org/abs/1504.00548,"('Julien Tissier', 'Christopher Gravier', 'Amaury Habrard')",9,Dict2vec : Learning Word Embeddings using Lexical Dictionaries,EMNLP,2017
"In this paper, we propose new methods to learn Chinese word representations. Chinese characters are composed of graphical components, which carry rich semantics. It is common for a Chinese learner to comprehend the meaning of a word from these graphical components. As a result, we propose models that enhance word representations by character glyphs. The character glyph features are directly learned from the bitmaps of characters by convolutional auto-encoder(convAE), and the glyph features improve Chinese word representations which are already enhanced by character embeddings. Another contribution in this paper is that we created several evaluation datasets in traditional Chinese and made them public.",http://aclweb.org/anthology/D17-1025,D17-1,D17-1025,https://arxiv.org/abs/1708.04755,"('Tzu-ray Su', 'Hung-yi Lee')",9,Learning Chinese Word Representations From Glyphs Of Characters,EMNLP,2017
"We consider the problem of learning general-purpose, paraphrastic sentence embeddings in the setting of Wieting et al. (2016b). We use neural machine translation to generate sentential paraphrases via back-translation of bilingual sentence pairs. We evaluate the paraphrase pairs by their ability to serve as training data for learning paraphrastic sentence embeddings. We find that the data quality is stronger than prior work based on bitext and on par with manually-written English paraphrase pairs, with the advantage that our approach can scale up to generate large training sets for many languages and domains. We experiment with several language pairs and data sources, and develop a variety of data filtering techniques. In the process, we explore how neural machine translation output differs from human-written sentences, finding clear differences in length, the amount of repetition, and the use of rare words.",http://aclweb.org/anthology/D17-1026,D17-1,D17-1026,https://arxiv.org/abs/1706.01847,"('John Wieting', 'Jonathan Mallinson', 'Kevin Gimpel')",9,Learning Paraphrastic Sentence Embeddings from Back-Translated Bitext,EMNLP,2017
,http://aclweb.org/anthology/D17-1027,D17-1,D17-1027,,"('Jinxing Yu', 'Xun Jian', 'Hao Xin', 'Yangqiu Song')",9,"
      Joint Embeddings of Chinese Words, Characters, and Fine-grained
      Subcharacter Components
    ",EMNLP,2017
"Neural network techniques are widely applied to obtain high-quality distributed representations of words, i.e., word embeddings, to address text mining, information retrieval, and natural language processing tasks. Recently, efficient methods have been proposed to learn word embeddings from context that captures both semantic and syntactic relationships between words. However, it is challenging to handle unseen words or rare words with insufficient context. In this paper, inspired by the study on word recognition process in cognitive psychology, we propose to take advantage of seemingly less obvious but essentially important morphological knowledge to address these challenges. In particular, we introduce a novel neural network architecture called KNET that leverages both contextual information and morphological word similarity built based on morphological knowledge to learn word embeddings. Meanwhile, the learning architecture is also able to refine the pre-defined morphological knowledge and obtain more accurate word similarity. Experiments on an analogical reasoning task and a word similarity task both demonstrate that the proposed KNET framework can greatly enhance the effectiveness of word embeddings.",http://aclweb.org/anthology/D17-1028,D17-1,D17-1028,https://arxiv.org/abs/1407.1687,"('Arihant Gupta', 'Syed Sarfaraz Akhtar', 'Avijit Vajpayee', 'Arjit Srivastava', 'Madan Gopal Jhanwar', 'Manish Shrivastava')",9,Exploiting Morphological Regularities in Distributional Word Representations,EMNLP,2017
"Chinese word segmentation (CWS) is an important task for Chinese NLP. Recently, many neural network based methods have been proposed for CWS. However, these methods require a large number of labeled sentences for model training, and usually cannot utilize the useful information in Chinese dictionary. In this paper, we propose two methods to exploit the dictionary information for CWS. The first one is based on pseudo labeled data generation, and the second one is based on multi-task learning. The experimental results on two benchmark datasets validate that our approach can effectively improve the performance of Chinese word segmentation, especially when training data is insufficient.",http://aclweb.org/anthology/D17-1029,D17-1,D17-1029,https://arxiv.org/abs/1807.05849,"('Shaonan Wang', 'Jiajun Zhang', 'Chengqing Zong')",9,Exploiting Word Internal Structures for Generic Chinese Sentence Representation,EMNLP,2017
"Distributional semantics models are known to struggle with small data. It is generally accepted that in order to learn 'a good vector' for a word, a model must have sufficient examples of its usage. This contradicts the fact that humans can guess the meaning of a word from a few occurrences only. In this paper, we show that a neural language model such as Word2Vec only necessitates minor modifications to its standard architecture to learn new terms from tiny data, using background knowledge from a previously learnt semantic space. We test our model on word definitions and on a nonce task involving 2-6 sentences' worth of context, showing a large increase in performance over state-of-the-art models on the definitional task.",http://aclweb.org/anthology/D17-1030,D17-1,D17-1030,https://arxiv.org/abs/1707.06556,"('Aurélie Herbelot', 'Marco Baroni')",9,High-risk learning: acquiring new word vectors from tiny data,EMNLP,2017
"As a generative model for building end-to-end dialogue systems, Hierarchical Recurrent Encoder-Decoder (HRED) consists of three layers of Gated Recurrent Unit (GRU), which from bottom to top are separately used as the word-level encoder, the sentence-level encoder, and the decoder. Despite performing well on dialogue corpora, HRED is computationally expensive to train due to its complexity. To improve the training efficiency of HRED, we propose a new model, which is named as Simplified HRED (SHRED), by making each layer of HRED except the top one simpler than its upper layer. On the one hand, we propose Scalar Gated Unit (SGU), which is a simplified variant of GRU, and use it as the sentence-level encoder. On the other hand, we use Fixed-size Ordinally-Forgetting Encoding (FOFE), which has no trainable parameter at all, as the word-level encoder. The experimental results show that compared with HRED under the same word embedding size and the same hidden state size for each layer, SHRED reduces the number of trainable parameters by 25\%--35\%, and the training time by more than 50\%, but still achieves slightly better performance.",http://aclweb.org/anthology/D17-1031,D17-1,D17-1031,https://arxiv.org/abs/1809.02790,"('Joseph Sanu', 'Mingbin Xu', 'Hui Jiang', 'Quan Liu')",9,Word Embeddings based on Fixed-Size Ordinally Forgetting Encoding,EMNLP,2017
"Topic models have been widely used in discovering latent topics which are shared across documents in text mining. Vector representations, word embeddings and topic embeddings, map words and topics into a low-dimensional and dense real-value vector space, which have obtained high performance in NLP tasks. However, most of the existing models assume the result trained by one of them are perfect correct and used as prior knowledge for improving the other model. Some other models use the information trained from external large corpus to help improving smaller corpus. In this paper, we aim to build such an algorithm framework that makes topic models and vector representations mutually improve each other within the same corpus. An EM-style algorithm framework is employed to iteratively optimize both topic model and vector representations. Experimental results show that our model outperforms state-of-art methods on various NLP tasks.",http://aclweb.org/anthology/D17-1032,D17-1,D17-1032,https://arxiv.org/abs/1702.07117,"('Jared Fernandez', 'Zhaocheng Yu', 'Doug Downey')",9,VecShare: A Framework for Sharing Word Representation Vectors,EMNLP,2017
"This paper is concerned with the training of recurrent neural networks as goal-oriented dialog agents using reinforcement learning. Training such agents with policy gradients typically requires a large amount of samples. However, the collection of the required data in form of conversations between chat-bots and human agents is time-consuming and expensive. To mitigate this problem, we describe an efficient policy gradient method using positive memory retention, which significantly increases the sample-efficiency. We show that our method is 10 times more sample-efficient than policy gradients in extensive experiments on a new synthetic number guessing game. Moreover, in a real-word visual object discovery game, the proposed method is twice as sample-efficient as policy gradients and shows state-of-the-art performance.",http://aclweb.org/anthology/D17-1033,D17-1,D17-1033,https://arxiv.org/abs/1810.01371,"('Souleiman Hasan', 'Edward Curry')",9,Word Re-Embedding via Manifold Dimensionality Retention,EMNLP,2017
"Unsupervised learned representations of polysemous words generate a large of pseudo multi senses since unsupervised methods are overly sensitive to contextual variations. In this paper, we address the pseudo multi-sense detection for word embeddings by dimensionality reduction of sense pairs. We propose a novel principal analysis method, termed Ex-RPCA, designed to detect both pseudo multi senses and real multi senses. With Ex-RPCA, we empirically show that pseudo multi senses are generated systematically in unsupervised method. Moreover, the multi-sense word embeddings can by improved by a simple linear transformation based on Ex-RPCA. Our improved word embedding outperform the original one by 5.6 points on Stanford contextual word similarity (SCWS) dataset. We hope our simple yet effective approach will help the linguistic analysis of multi-sense word embeddings in the future.",http://aclweb.org/anthology/D17-1034,D17-1,D17-1034,https://arxiv.org/abs/1803.01255,"('Guang-He Lee', 'Yun-Nung Chen')",9,MUSE: Modularizing Unsupervised Sense Embeddings,EMNLP,2017
,http://aclweb.org/anthology/D17-1035,D17-1,D17-1035,,"('Nils Reimers', 'Iryna Gurevych')",9,"
      Reporting Score Distributions Makes a Difference: Performance Study of
      LSTM-networks for Sequence Tagging
    ",EMNLP,2017
"Machine learning methods incorporating deep neural networks have been the subject of recent proposals for new hadronic resonance taggers. These methods require training on a dataset produced by an event generator where the true class labels are known. However, training a network on a specific event generator may bias the network towards learning features associated with the approximations to QCD used in that generator which are not present in real data. We therefore investigate the effects of variations in the modelling of the parton shower on the performance of deep neural network taggers using jet images from hadronic W-bosons at the LHC, including detector-related effects. By investigating network performance on samples from the Pythia, Herwig and Sherpa generators, we find differences of up to fifty percent in background rejection for fixed signal efficiency. We also introduce and study a method, which we dub zooming, for implementing scale-invariance in neural network-based taggers. We find that this leads to an improvement in performance across a wide range of jet transverse momenta. Our results emphasise the importance gaining a detailed understanding what aspects of jet physics these methods are exploiting.",http://aclweb.org/anthology/D17-1036,D17-1,D17-1036,https://arxiv.org/abs/1609.00607,"('André F. T. Martins', 'Julia Kreutzer')",9,Learning What's Easy: Fully Differentiable Neural Easy-First Taggers,EMNLP,2017
"This paper explores an incremental training strategy for the skip-gram model with negative sampling (SGNS) from both empirical and theoretical perspectives. Existing methods of neural word embeddings, including SGNS, are multi-pass algorithms and thus cannot perform incremental model update. To address this problem, we present a simple incremental extension of SGNS and provide a thorough theoretical analysis to demonstrate its validity. Empirical experiments demonstrated the correctness of the theoretical analysis as well as the practical usefulness of the incremental algorithm.",http://aclweb.org/anthology/D17-1037,D17-1,D17-1037,https://arxiv.org/abs/1704.03956,"('Nobuhiro Kaji', 'Hayato Kobayashi')",9,Incremental Skip-gram Model with Negative Sampling,EMNLP,2017
"Domain similarity measures can be used to gauge adaptability and select suitable data for transfer learning, but existing approaches define ad hoc measures that are deemed suitable for respective tasks. Inspired by work on curriculum learning, we propose to \emph{learn} data selection measures using Bayesian Optimization and evaluate them across models, domains and tasks. Our learned measures outperform existing domain similarity measures significantly on three tasks: sentiment analysis, part-of-speech tagging, and parsing. We show the importance of complementing similarity with diversity, and that learned measures are -- to some degree -- transferable across models, domains, and even tasks.",http://aclweb.org/anthology/D17-1038,D17-1,D17-1038,https://arxiv.org/abs/1707.05246,"('Sebastian Ruder', 'Barbara Plank')",9,Learning to select data for transfer learning with Bayesian Optimization,EMNLP,2017
"We present two approaches that use unlabeled data to improve sequence learning with recurrent networks. The first approach is to predict what comes next in a sequence, which is a conventional language model in natural language processing. The second approach is to use a sequence autoencoder, which reads the input sequence into a vector and predicts the input sequence again. These two algorithms can be used as a ""pretraining"" step for a later supervised sequence learning algorithm. In other words, the parameters obtained from the unsupervised step can be used as a starting point for other supervised training models. In our experiments, we find that long short term memory recurrent networks after being pretrained with the two approaches are more stable and generalize better. With pretraining, we are able to train long short term memory recurrent networks up to a few hundred timesteps, thereby achieving strong performance in many text classification tasks, such as IMDB, DBpedia and 20 Newsgroups.",http://aclweb.org/anthology/D17-1039,D17-1,D17-1039,https://arxiv.org/abs/1511.01432,"('Prajit Ramachandran', 'Peter Liu', 'Quoc Le')",9,Unsupervised Pretraining for Sequence to Sequence Learning,EMNLP,2017
"The standard content-based attention mechanism typically used in sequence-to-sequence models is computationally expensive as it requires the comparison of large encoder and decoder states at each time step. In this work, we propose an alternative attention mechanism based on a fixed size memory representation that is more efficient. Our technique predicts a compact set of K attention contexts during encoding and lets the decoder compute an efficient lookup that does not need to consult the memory. We show that our approach performs on-par with the standard attention mechanism while yielding inference speedups of 20% for real-world translation tasks and more for tasks with longer sequences. By visualizing attention scores we demonstrate that our models learn distinct, meaningful alignments.",http://aclweb.org/anthology/D17-1040,D17-1,D17-1040,https://arxiv.org/abs/1707.00110,"('Denny Britz', 'Melody Guan', 'Minh-Thang Luong')",9,Efficient Attention using a Fixed-Size Memory Representation,EMNLP,2017
