time,value
1994.1666666697,359.95
1994.250000003,361.25
1994.3333333364,361.67
1994.4166666697,360.94
1994.500000003,359.55
1994.5833333364,357.49
1994.6666666697,355.84
1994.7500000031,356
1994.8333333364,357.59
1994.9166666697,359.05
1995.0000000031,359.98
1995.0833333364,361.03
1995.1666666698,361.66
1995.2500000031,363.48
1995.3333333365,363.82
1995.4166666698,363.3
1995.5000000031,361.94
1995.5833333365,359.5
1995.6666666698,358.11
1995.7500000032,357.8
1995.8333333365,359.61
1995.9166666698,360.74
1996.0000000032,362.09
1996.0833333365,363.29
1996.1666666699,364.06
1996.2500000032,364.76
1996.3333333365,365.45
1996.4166666699,365.01
1996.5000000032,363.7
1996.5833333366,361.54
1996.6666666699,359.51
1996.7500000032,359.65
1996.8333333366,360.8
1996.9166666699,362.38
1997.0000000033,363.23
1997.0833333366,364.06
1997.1666666699,364.61
1997.2500000033,366.4
1997.3333333366,366.84
1997.41666667,365.68
1997.5000000033,364.52
1997.5833333366,362.57
1997.66666667,360.24
1997.7500000033,360.83
1997.8333333367,362.49
1997.91666667,364.34
